hr,weekday,cnt,workingday
0,6,16.0,0
1,6,40.0,0
2,6,32.0,0
3,6,13.0,0
4,6,1.0,0
5,6,1.0,0
6,6,2.0,0
7,6,3.0,0
8,6,8.0,0
9,6,14.0,0
10,6,36.0,0
11,6,56.0,0
12,6,84.0,0
13,6,94.0,0
14,6,106.0,0
15,6,110.0,0
16,6,93.0,0
17,6,67.0,0
18,6,35.0,0
19,6,37.0,0
20,6,36.0,0
21,6,34.0,0
22,6,28.0,0
23,6,39.0,0
0,0,17.0,0
1,0,17.0,0
2,0,9.0,0
3,0,6.0,0
4,0,3.0,0
6,0,2.0,0
7,0,1.0,0
8,0,8.0,0
9,0,20.0,0
10,0,53.0,0
11,0,70.0,0
12,0,93.0,0
13,0,75.0,0
14,0,59.0,0
15,0,74.0,0
16,0,76.0,0
17,0,65.0,0
18,0,53.0,0
19,0,30.0,0
20,0,22.0,0
21,0,31.0,0
22,0,9.0,0
23,0,8.0,0
0,1,5.0,1
1,1,2.0,1
4,1,1.0,1
5,1,3.0,1
6,1,30.0,1
7,1,64.0,1
8,1,154.0,1
9,1,88.0,1
10,1,44.0,1
11,1,51.0,1
12,1,61.0,1
13,1,61.0,1
14,1,77.0,1
15,1,72.0,1
16,1,76.0,1
17,1,157.0,1
18,1,157.0,1
19,1,110.0,1
20,1,52.0,1
21,1,52.0,1
22,1,20.0,1
23,1,12.0,1
0,2,5.0,1
1,2,2.0,1
2,2,1.0,1
4,2,2.0,1
5,2,4.0,1
6,2,36.0,1
7,2,94.0,1
8,2,179.0,1
9,2,100.0,1
10,2,42.0,1
11,2,57.0,1
12,2,78.0,1
13,2,97.0,1
14,2,63.0,1
15,2,65.0,1
16,2,83.0,1
17,2,212.0,1
18,2,182.0,1
19,2,112.0,1
20,2,54.0,1
21,2,48.0,1
22,2,35.0,1
23,2,11.0,1
0,3,6.0,1
1,3,6.0,1
2,3,2.0,1
4,3,2.0,1
5,3,3.0,1
6,3,33.0,1
7,3,88.0,1
8,3,195.0,1
9,3,115.0,1
10,3,57.0,1
11,3,46.0,1
12,3,79.0,1
13,3,71.0,1
14,3,62.0,1
15,3,62.0,1
16,3,89.0,1
17,3,190.0,1
18,3,169.0,1
19,3,132.0,1
20,3,89.0,1
21,3,43.0,1
22,3,42.0,1
23,3,19.0,1
0,4,11.0,1
1,4,4.0,1
2,4,2.0,1
4,4,1.0,1
5,4,4.0,1
6,4,36.0,1
7,4,95.0,1
8,4,219.0,1
9,4,122.0,1
10,4,45.0,1
11,4,59.0,1
12,4,84.0,1
13,4,67.0,1
14,4,70.0,1
15,4,62.0,1
16,4,86.0,1
17,4,172.0,1
18,4,163.0,1
19,4,112.0,1
20,4,69.0,1
21,4,48.0,1
22,4,52.0,1
23,4,23.0,1
0,5,17.0,1
1,5,7.0,1
2,5,1.0,1
4,5,1.0,1
5,5,5.0,1
6,5,34.0,1
7,5,84.0,1
8,5,210.0,1
9,5,134.0,1
10,5,63.0,1
11,5,67.0,1
12,5,59.0,1
13,5,73.0,1
14,5,50.0,1
15,5,72.0,1
16,5,87.0,1
17,5,187.0,1
18,5,123.0,1
19,5,95.0,1
20,5,51.0,1
21,5,39.0,1
22,5,36.0,1
23,5,15.0,1
0,6,25.0,0
1,6,16.0,0
2,6,16.0,0
3,6,7.0,0
4,6,1.0,0
5,6,5.0,0
6,6,2.0,0
7,6,9.0,0
8,6,15.0,0
9,6,20.0,0
10,6,61.0,0
11,6,62.0,0
12,6,98.0,0
13,6,102.0,0
14,6,95.0,0
15,6,74.0,0
16,6,76.0,0
17,6,69.0,0
18,6,55.0,0
19,6,30.0,0
20,6,28.0,0
21,6,37.0,0
22,6,34.0,0
23,6,22.0,0
0,0,25.0,0
1,0,12.0,0
2,0,11.0,0
3,0,4.0,0
4,0,1.0,0
5,0,1.0,0
6,0,1.0,0
7,0,6.0,0
8,0,10.0,0
9,0,19.0,0
10,0,49.0,0
11,0,49.0,0
12,0,83.0,0
13,0,75.0,0
14,0,72.0,0
15,0,82.0,0
16,0,92.0,0
17,0,62.0,0
18,0,48.0,0
19,0,41.0,0
20,0,38.0,0
21,0,20.0,0
22,0,15.0,0
23,0,6.0,0
0,1,5.0,1
1,1,1.0,1
2,1,3.0,1
3,1,1.0,1
4,1,3.0,1
5,1,3.0,1
6,1,31.0,1
7,1,77.0,1
8,1,188.0,1
9,1,94.0,1
10,1,31.0,1
11,1,30.0,1
12,1,52.0,1
13,1,54.0,1
14,1,47.0,1
15,1,45.0,1
16,1,74.0,1
17,1,178.0,1
18,1,155.0,1
19,1,95.0,1
20,1,74.0,1
21,1,38.0,1
22,1,24.0,1
23,1,18.0,1
0,2,12.0,1
1,2,3.0,1
2,2,3.0,1
5,2,6.0,1
6,2,27.0,1
7,2,99.0,1
8,2,217.0,1
9,2,130.0,1
10,2,54.0,1
11,2,35.0,1
12,2,57.0,1
13,2,52.0,1
14,2,63.0,1
